TF,t
NEUROD1,-3.5159925119281854
NFATC1,1.30214783327207
NFATC2,0.8784499062843514
NFE2,-1.8666125559150724
NFE2L1,0.7118928674874901
NFE2L2,-1.9414644488591848
NFIC,-1.5399502343321587
NFKB1,-1.093015607551817
NFKB2,1.9816793937051802
NFYA,0.20772664622588252
NFYB,1.2044016659306638
NR1H2,-1.7818179073213405
NR1H3,-0.3804646270968957
NR2C2,0.8268098136582434
NR2F1,-7.419112397748816
NR2F2,-0.6798043957598923
NR2F6,1.2792444555170157
NR3C1,0.46478307755588666
NR4A1,-0.8179853798442248
NR5A1,-0.1809112309029982
NR5A2,-1.1579178337154055
NRF1,-2.1306913175359554
ONECUT1,4.517281155185201
OTX2,0.16857050006416308
PAX5,-4.73271239591842
PAX6,0.14911507381735212
PAX8,0.19878134579578732
PBX2,-0.008826929364891278
PBX3,3.760324070468721
PDX1,2.389617627362739
PGR,0.012346748376869367
PKNOX1,0.29027081022805856
POU2F1,-0.8322209169464633
POU2F2,-1.1714617868047628
POU4F2,3.2940996170993504
POU5F1,3.682966828385075
PPARA,-0.965053373515121
PPARG,1.4690332185230905
PRDM1,2.7977488009547185
PRDM14,-7.303147714453891
PROX1,0.9952767979531775
RARA,-1.5330395888845199
RBPJ,2.536816439463221
REL,0.30512253506250436
RELA,-1.5089130172650114
RELB,-0.7060963989776836
REST,1.6245936658145148
RFX1,-2.0946097086913333
RFX2,0.038880016434041195
RFX5,1.9616496234333913
RUNX1,-1.4137688984213537
RUNX2,1.763607637789813
RUNX3,0.6796030012837201
RXRA,0.09867668807104896
SIX2,1.2588566774907812
SIX5,-6.251868716077217
SMAD1,0.09460868896803222
SMAD3,-3.2051476964245382
SMAD4,-2.460549213674001
SMAD5,1.9271891258725136
SNAI2,5.555394421979322
SNAPC4,-2.767952061679482
SOX10,-0.19879984137356704
SOX11,3.6643338957654885
SOX13,-1.218714891713545
SOX2,0.5542081924945843
SOX6,0.3343290809015401
SOX9,-0.0261974913505396
SP1,-2.043979711355635
SP2,-0.8790534679438702
SP3,-1.15151991196749
SP4,-0.5785124046205592
SPI1,1.9616472503392508
SPIB,0.17546551927977935
SREBF1,-1.1450131248675521
SREBF2,-0.806842434112055
SRF,-1.9221351693038615
STAT1,0.8016885333109534
